"","de.prob","num.groups","ARI.cluster.mean","ARI.cluster.sd","ARI.Ada.mean","ARI.Ada.sd"
"1",0,3,"0.001","0","0.001","0"
"2",0.2,3,"1","0","0.999","0.004"
"3",0.4,3,"0.948","0","0.943","0.003"
"4",0.6,3,"0.959","0","0.956","0.002"
"5",0.8,3,"1","0","1","0"
"6",1,3,"1","0","1","0"
"7",0,4,"-0.001","0","-0.001","0"
"8",0.2,4,"0.637","0","0.637","0"
"9",0.4,4,"0.642","0","0.643","0.001"
"10",0.6,4,"0.803","0","0.802","0.002"
"11",0.8,4,"0.8","0","0.793","0.004"
"12",1,4,"0.997","0","0.997","0"
